漢字,文字コード,コード,その他
檯,Unicode,U+6AAF,NULL
檯,JIS X 0213,-,NULL
檯,Shift_JIS-2004,-,NULL
檯,MJ文字図形名,MJ014614,NULL
檯,戸籍統一文字番号,178390,NULL
檯,住基ネット統一文字コード,J+6AAF,NULL
檽,Unicode,U+6ABD,NULL
檽,JIS X 0213,2-15-67,面区点番号
檽,Shift_JIS-2004,F483,NULL
檽,MJ文字図形名,MJ014633,NULL
檽,戸籍統一文字番号,178660,NULL
檽,住基ネット統一文字コード,J+6ABD,NULL
檰,Unicode,U+6AB0,NULL
檰,JIS X 0213,-,NULL
檰,Shift_JIS-2004,-,NULL
檰,MJ文字図形名,MJ014615,NULL
檰,戸籍統一文字番号,178440,NULL
檰,住基ネット統一文字コード,J+6AB0,NULL
櫜,Unicode,U+6ADC,NULL
櫜,JIS X 0213,2-15-71,面区点番号
櫜,Shift_JIS-2004,F487,NULL
櫜,MJ文字図形名,MJ014673,NULL
櫜,MJ文字図形名,MJ014674,NULL
櫜,戸籍統一文字番号,179490,MJ014673
櫜,戸籍統一文字番号,179850,MJ014674
櫜,住基ネット統一文字コード,J+6ADC,MJ014673
櫜,住基ネット統一文字コード,J+B3C1,MJ014674
櫍,Unicode,U+6ACD,NULL
櫍,JIS X 0213,-,NULL
櫍,Shift_JIS-2004,-,NULL
櫍,MJ文字図形名,MJ014650,NULL
櫍,戸籍統一文字番号,179210,NULL
櫍,住基ネット統一文字コード,-,NULL
櫏,Unicode,U+6ACF,NULL
櫏,JIS X 0213,-,NULL
櫏,Shift_JIS-2004,-,NULL
櫏,MJ文字図形名,MJ014653,NULL
櫏,戸籍統一文字番号,179240,NULL
櫏,住基ネット統一文字コード,-,NULL
櫤,Unicode,U+6AE4,NULL
櫤,JIS X 0213,1-86-24,面区点番号
櫤,Shift_JIS-2004,EBB6,NULL
櫤,MJ文字図形名,MJ014686,NULL
櫤,MJ文字図形名,MJ014687,NULL
櫤,戸籍統一文字番号,179790,MJ014686
櫤,住基ネット統一文字コード,J+6AE4,MJ014686
櫤,住基ネット統一文字コード,J+B3CB,MJ014687
櫝,Unicode,U+6ADD,NULL
櫝,JIS X 0213,2-15-72,面区点番号
櫝,Shift_JIS-2004,F488,NULL
櫝,MJ文字図形名,MJ014675,NULL
櫝,MJ文字図形名,MJ014676,NULL
櫝,戸籍統一文字番号,179520,MJ014675
櫝,住基ネット統一文字コード,J+6ADD,MJ014675
櫝,住基ネット統一文字コード,J+B3C9,MJ014676
櫌,Unicode,U+6ACC,NULL
櫌,JIS X 0213,-,NULL
櫌,Shift_JIS-2004,-,NULL
櫌,MJ文字図形名,MJ014649,NULL
櫌,戸籍統一文字番号,179730,NULL
櫌,住基ネット統一文字コード,J+6ACC,NULL
櫖,Unicode,U+6AD6,NULL
櫖,JIS X 0213,-,NULL
櫖,Shift_JIS-2004,-,NULL
櫖,MJ文字図形名,MJ014663,NULL
櫖,戸籍統一文字番号,179370,NULL
櫖,住基ネット統一文字コード,J+6AD6,NULL
櫐,Unicode,U+6AD0,NULL
櫐,JIS X 0213,2-15-70,面区点番号
櫐,Shift_JIS-2004,F486,NULL
櫐,MJ文字図形名,MJ014654,NULL
櫐,戸籍統一文字番号,179280,NULL
櫐,住基ネット統一文字コード,J+6AD0,NULL
櫔,Unicode,U+6AD4,NULL
櫔,JIS X 0213,2-15-69,面区点番号
櫔,Shift_JIS-2004,F485,NULL
櫔,MJ文字図形名,MJ014658,NULL
櫔,MJ文字図形名,MJ014659,NULL
櫔,MJ文字図形名,MJ014660,NULL
櫔,戸籍統一文字番号,179010,MJ014658
櫔,戸籍統一文字番号,179330,MJ014659
櫔,住基ネット統一文字コード,J+6AD4,MJ014658
櫔,住基ネット統一文字コード,J+B3BA,MJ014660
樐,Unicode,U+6A10,NULL
樐,JIS X 0213,-,NULL
樐,Shift_JIS-2004,-,NULL
樐,MJ文字図形名,MJ014422,NULL
樐,戸籍統一文字番号,174500,NULL
樐,住基ネット統一文字コード,-,NULL
㯭,Unicode,U+3BED,NULL
㯭,JIS X 0213,-,NULL
㯭,Shift_JIS-2004,-,NULL
㯭,MJ文字図形名,MJ001842,NULL
㯭,戸籍統一文字番号,177430,NULL
㯭,住基ネット統一文字コード,-,NULL
櫰,Unicode,U+6AF0,NULL
櫰,JIS X 0213,-,NULL
櫰,Shift_JIS-2004,-,NULL
櫰,MJ文字図形名,MJ014698,NULL
櫰,戸籍統一文字番号,180070,NULL
櫰,住基ネット統一文字コード,J+6AF0,NULL
櫧,Unicode,U+6AE7,NULL
櫧,JIS X 0213,1-86-25,面区点番号
櫧,Shift_JIS-2004,EBB7,NULL
櫧,MJ文字図形名,MJ014688,NULL
櫧,戸籍統一文字番号,179900,NULL
櫧,住基ネット統一文字コード,J+6AE7,NULL
櫬,Unicode,U+6AEC,NULL
櫬,JIS X 0213,2-15-75,面区点番号
櫬,Shift_JIS-2004,F48B,NULL
櫬,MJ文字図形名,MJ014694,NULL
櫬,戸籍統一文字番号,179980,NULL
櫬,住基ネット統一文字コード,J+6AEC,NULL
櫲,Unicode,U+6AF2,NULL
櫲,JIS X 0213,2-15-77,面区点番号
櫲,Shift_JIS-2004,F48D,NULL
櫲,MJ文字図形名,MJ014700,NULL
櫲,戸籍統一文字番号,180090,NULL
櫲,住基ネット統一文字コード,J+6AF2,NULL
櫳,Unicode,U+6AF3,NULL
櫳,JIS X 0213,2-15-78,面区点番号
櫳,Shift_JIS-2004,F48E,NULL
櫳,MJ文字図形名,MJ014701,NULL
櫳,MJ文字図形名,MJ014702,NULL
櫳,戸籍統一文字番号,180130,MJ014701
櫳,戸籍統一文字番号,180300,MJ014702
櫳,住基ネット統一文字コード,J+6AF3,MJ014701
櫳,住基ネット統一文字コード,J+B3CE,MJ014702
㰍,Unicode,U+3C0D,NULL
㰍,JIS X 0213,-,NULL
㰍,Shift_JIS-2004,-,NULL
㰍,MJ文字図形名,MJ001870,NULL
㰍,MJ文字図形名,MJ001871,NULL
㰍,戸籍統一文字番号,180140,MJ001870
㰍,戸籍統一文字番号,180330,MJ001871
㰍,住基ネット統一文字コード,-,NULL
欃,Unicode,U+6B03,NULL
欃,JIS X 0213,-,NULL
欃,Shift_JIS-2004,-,NULL
欃,MJ文字図形名,MJ014715,NULL
欃,戸籍統一文字番号,180570,NULL
欃,住基ネット統一文字コード,J+6B03,NULL
欀,Unicode,U+6B00,NULL
欀,JIS X 0213,-,NULL
欀,Shift_JIS-2004,-,NULL
欀,MJ文字図形名,MJ014711,NULL
欀,戸籍統一文字番号,180700,NULL
欀,住基ネット統一文字コード,-,NULL
櫼,Unicode,U+6AFC,NULL
櫼,JIS X 0213,-,NULL
櫼,Shift_JIS-2004,-,NULL
櫼,MJ文字図形名,MJ014707,NULL
櫼,戸籍統一文字番号,180440,NULL
櫼,住基ネット統一文字コード,J+6AFC,NULL
欂,Unicode,U+6B02,NULL
欂,JIS X 0213,-,NULL
欂,Shift_JIS-2004,-,NULL
欂,MJ文字図形名,MJ014713,NULL
欂,MJ文字図形名,MJ014714,NULL
欂,戸籍統一文字番号,180270,MJ014713
欂,戸籍統一文字番号,180560,MJ014714
欂,住基ネット統一文字コード,J+6B02,MJ014713
櫾,Unicode,U+6AFE,NULL
櫾,JIS X 0213,-,NULL
櫾,Shift_JIS-2004,-,NULL
櫾,MJ文字図形名,MJ014709,NULL
櫾,戸籍統一文字番号,180480,NULL
櫾,住基ネット統一文字コード,-,NULL
欞,Unicode,U+6B1E,NULL
欞,JIS X 0213,1-86-29,面区点番号
欞,Shift_JIS-2004,EBBB,NULL
欞,MJ文字図形名,MJ014744,NULL
欞,戸籍統一文字番号,181550,NULL
欞,住基ネット統一文字コード,J+6B1E,NULL
﨔,Unicode,U+FA14,NULL
﨔,JIS X 0213,1-85-90,面区点番号
﨔,Shift_JIS-2004,EB9A,NULL
﨔,MJ文字図形名,MJ030202,NULL
﨔,戸籍統一文字番号,-,NULL
﨔,住基ネット統一文字コード,J+FA14,NULL
欋,Unicode,U+6B0B,NULL
欋,JIS X 0213,2-15-81,面区点番号
欋,Shift_JIS-2004,F491,NULL
欋,MJ文字図形名,MJ014725,NULL
欋,戸籍統一文字番号,180870,NULL
欋,住基ネット統一文字コード,J+6B0B,NULL
欇,Unicode,U+6B07,NULL
欇,JIS X 0213,-,NULL
欇,Shift_JIS-2004,-,NULL
欇,MJ文字図形名,MJ014719,NULL
欇,MJ文字図形名,MJ014720,NULL
欇,戸籍統一文字番号,180960,MJ014719
欇,住基ネット統一文字コード,J+C0EC,MJ014719
欇,住基ネット統一文字コード,J+6B07,MJ014720
欆,Unicode,U+6B06,NULL
欆,JIS X 0213,-,NULL
欆,Shift_JIS-2004,-,NULL
欆,MJ文字図形名,MJ014718,NULL
欆,戸籍統一文字番号,180780,NULL
欆,住基ネット統一文字コード,J+6B06,NULL
欉,Unicode,U+6B09,NULL
欉,JIS X 0213,-,NULL
欉,Shift_JIS-2004,-,NULL
欉,MJ文字図形名,MJ014722,NULL
欉,戸籍統一文字番号,180830,NULL
欉,住基ネット統一文字コード,J+6B09,NULL
欑,Unicode,U+6B11,NULL
欑,JIS X 0213,2-15-84,面区点番号
欑,Shift_JIS-2004,F494,NULL
欑,MJ文字図形名,MJ014728,NULL
欑,戸籍統一文字番号,181070,NULL
欑,住基ネット統一文字コード,J+6B11,NULL
櫕,Unicode,U+6AD5,NULL
櫕,JIS X 0213,-,NULL
櫕,Shift_JIS-2004,-,NULL
櫕,MJ文字図形名,MJ014662,NULL
櫕,戸籍統一文字番号,179340,NULL
櫕,住基ネット統一文字コード,J+6AD5,NULL
欏,Unicode,U+6B0F,NULL
欏,JIS X 0213,2-15-82,面区点番号
欏,Shift_JIS-2004,F492,NULL
欏,MJ文字図形名,MJ014726,NULL
欏,戸籍統一文字番号,180970,NULL
欏,住基ネット統一文字コード,J+6B0F,NULL
栾,Unicode,U+683E,NULL
栾,JIS X 0213,2-14-62,面区点番号
栾,Shift_JIS-2004,F3DC,NULL
栾,MJ文字図形名,MJ013881,NULL
栾,戸籍統一文字番号,166160,NULL
栾,住基ネット統一文字コード,J+683E,NULL
欐,Unicode,U+6B10,NULL
欐,JIS X 0213,2-15-83,面区点番号
欐,Shift_JIS-2004,F493,NULL
欐,MJ文字図形名,MJ014727,NULL
欐,戸籍統一文字番号,181060,NULL
欐,住基ネット統一文字コード,J+6B10,NULL
欓,Unicode,U+6B13,NULL
欓,JIS X 0213,-,NULL
欓,Shift_JIS-2004,-,NULL
欓,MJ文字図形名,MJ014730,NULL
欓,戸籍統一文字番号,181170,NULL
欓,住基ネット統一文字コード,-,NULL
欘,Unicode,U+6B18,NULL
欘,JIS X 0213,-,NULL
欘,Shift_JIS-2004,-,NULL
欘,MJ文字図形名,MJ014737,NULL
欘,戸籍統一文字番号,181350,NULL
欘,住基ネット統一文字コード,-,NULL
欛,Unicode,U+6B1B,NULL
欛,JIS X 0213,1-86-28,面区点番号
欛,Shift_JIS-2004,EBBA,NULL
欛,MJ文字図形名,MJ014740,NULL
欛,戸籍統一文字番号,181380,NULL
欛,住基ネット統一文字コード,J+6B1B,NULL
偓,Unicode,U+5053,NULL
偓,JIS X 0213,2-01-66,面区点番号
偓,Shift_JIS-2004,F082,NULL
偓,MJ文字図形名,MJ006913,NULL
偓,戸籍統一文字番号,010000,NULL
偓,住基ネット統一文字コード,J+5053,NULL
儳,Unicode,U+5133,NULL
儳,JIS X 0213,-,NULL
儳,Shift_JIS-2004,-,NULL
儳,MJ文字図形名,MJ007192,NULL
儳,戸籍統一文字番号,015000,NULL
儳,住基ネット統一文字コード,J+5133,NULL
凊,Unicode,U+51CA,NULL
凊,JIS X 0213,1-14-54,面区点番号
凊,Shift_JIS-2004,87D4,NULL
凊,MJ文字図形名,MJ007391,NULL
凊,MJ文字図形名,MJ007392,NULL
凊,戸籍統一文字番号,019840,MJ007391
凊,戸籍統一文字番号,019950,MJ007392
凊,住基ネット統一文字コード,J+51CA,MJ007391
凊,住基ネット統一文字コード,J+AE01,MJ007392
厲,Unicode,U+53B2,NULL
厲,JIS X 0213,1-14-84,面区点番号
厲,Shift_JIS-2004,87F2,NULL
厲,MJ文字図形名,MJ007965,NULL
厲,MJ文字図形名,MJ007966,NULL
厲,戸籍統一文字番号,035150,MJ007965
厲,住基ネット統一文字コード,J+53B2,MJ007966
厉,Unicode,U+5389,NULL
厉,JIS X 0213,-,NULL
厉,Shift_JIS-2004,-,NULL
厉,MJ文字図形名,MJ007924,NULL
厉,戸籍統一文字番号,033630,NULL
厉,住基ネット統一文字コード,-,NULL
哳,Unicode,U+54F3,NULL
哳,JIS X 0213,2-03-91,面区点番号
哳,Shift_JIS-2004,F19B,NULL
哳,MJ文字図形名,MJ008292,NULL
哳,戸籍統一文字番号,042190,NULL
哳,住基ネット統一文字コード,J+54F3,NULL
喑,Unicode,U+5591,NULL
喑,JIS X 0213,2-04-14,面区点番号
喑,Shift_JIS-2004,F1AC,NULL
喑,MJ文字図形名,MJ008448,NULL
喑,MJ文字図形名,MJ008449,NULL
喑,戸籍統一文字番号,045090,MJ008448
喑,戸籍統一文字番号,046190,MJ008449
喑,住基ネット統一文字コード,J+5591,MJ008448
噁,Unicode,U+5641,NULL
噁,JIS X 0213,-,NULL
噁,Shift_JIS-2004,-,NULL
噁,MJ文字図形名,MJ008640,NULL
噁,戸籍統一文字番号,049100,NULL
噁,住基ネット統一文字コード,J+5641,NULL
噦,Unicode,U+5666,NULL
噦,JIS X 0213,1-15-21,面区点番号
噦,Shift_JIS-2004,8854,NULL
噦,MJ文字図形名,MJ008681,NULL
噦,戸籍統一文字番号,050120,NULL
噦,住基ネット統一文字コード,J+5666,NULL
噯,Unicode,U+566F,NULL
噯,JIS X 0213,1-15-23,面区点番号
噯,Shift_JIS-2004,8856,NULL
噯,MJ文字図形名,MJ008691,NULL
噯,戸籍統一文字番号,049890,NULL
噯,住基ネット統一文字コード,J+566F,NULL
嚬,Unicode,U+56AC,NULL
嚬,JIS X 0213,1-15-29,面区点番号
嚬,Shift_JIS-2004,885C,NULL
嚬,MJ文字図形名,MJ008762,NULL
嚬,戸籍統一文字番号,052150,NULL
嚬,住基ネット統一文字コード,J+56AC,NULL
塿,Unicode,U+587F,NULL
塿,JIS X 0213,-,NULL
塿,Shift_JIS-2004,-,NULL
塿,MJ文字図形名,MJ009253,NULL
塿,戸籍統一文字番号,061790,NULL
塿,住基ネット統一文字コード,J+587F,NULL
壎,Unicode,U+58CE,NULL
壎,JIS X 0213,1-15-66,面区点番号
壎,Shift_JIS-2004,8882,NULL
壎,MJ文字図形名,MJ009344,NULL
壎,MJ文字図形名,MJ009345,NULL
壎,戸籍統一文字番号,063510,MJ009344
壎,住基ネット統一文字コード,J+58CE,MJ009344
壎,住基ネット統一文字コード,J+AF94,MJ009345
塤,Unicode,U+5864,NULL
塤,JIS X 0213,1-15-57,面区点番号
塤,Shift_JIS-2004,8878,NULL
塤,MJ文字図形名,MJ009228,NULL
塤,戸籍統一文字番号,061240,NULL
塤,住基ネット統一文字コード,J+5864,NULL
孒,Unicode,U+5B52,NULL
孒,JIS X 0213,2-05-87,面区点番号
孒,Shift_JIS-2004,F297,NULL
孒,MJ文字図形名,MJ010053,NULL
孒,戸籍統一文字番号,078860,NULL
孒,住基ネット統一文字コード,J+5B52,NULL
歠,Unicode,U+6B60,NULL
歠,JIS X 0213,1-86-34,面区点番号
歠,Shift_JIS-2004,EBC0,NULL
歠,MJ文字図形名,MJ014820,NULL
歠,戸籍統一文字番号,184210,NULL
歠,住基ネット統一文字コード,J+6B60,NULL
炷,Unicode,U+70B7,NULL
炷,JIS X 0213,1-87-40,面区点番号
炷,Shift_JIS-2004,EC67,NULL
炷,MJ文字図形名,MJ016346,NULL
炷,MJ文字図形名,MJ016347,NULL
炷,戸籍統一文字番号,213630,MJ016346
炷,戸籍統一文字番号,213850,MJ016347
炷,住基ネット統一文字コード,J+70B7,MJ016346
焠,Unicode,U+7120,NULL
焠,JIS X 0213,1-87-47,面区点番号
焠,Shift_JIS-2004,EC6E,NULL
焠,MJ文字図形名,MJ016433,NULL
焠,戸籍統一文字番号,215270,NULL
焠,住基ネット統一文字コード,J+7120,NULL
牖,Unicode,U+7256,NULL
牖,JIS X 0213,1-87-69,面区点番号
牖,Shift_JIS-2004,EC85,NULL
牖,MJ文字図形名,MJ016797,NULL
牖,戸籍統一文字番号,223890,NULL
牖,住基ネット統一文字コード,J+7256,NULL
牗,Unicode,U+7257,NULL
牗,JIS X 0213,2-80-17,面区点番号
牗,Shift_JIS-2004,F5AF,NULL
牗,MJ文字図形名,MJ016798,NULL
牗,戸籍統一文字番号,223920,NULL
牗,住基ネット統一文字コード,J+7257,NULL
猋,Unicode,U+730B,NULL
猋,JIS X 0213,-,NULL
猋,Shift_JIS-2004,-,NULL
猋,MJ文字図形名,MJ016978,NULL
猋,戸籍統一文字番号,230230,NULL
猋,住基ネット統一文字コード,J+730B,NULL
獮,Unicode,U+736E,NULL
獮,JIS X 0213,2-80-52,面区点番号
獮,Shift_JIS-2004,F5D2,NULL
獮,MJ文字図形名,MJ017086,NULL
獮,戸籍統一文字番号,232850,NULL
獮,住基ネット統一文字コード,J+736E,NULL
孼,Unicode,U+5B7C,NULL
孼,JIS X 0213,-,NULL
孼,Shift_JIS-2004,F29A,NULL
孼,MJ文字図形名,MJ010099,NULL
孼,MJ文字図形名,MJ010100,NULL
孼,戸籍統一文字番号,080120,MJ010099
孼,戸籍統一文字番号,080130,MJ010100
孼,住基ネット統一文字コード,J+5B7C,MJ010100
孽,Unicode,U+5B7D,NULL
孽,JIS X 0213,1-47-55,面区点番号
孽,Shift_JIS-2004,9876,NULL
孽,MJ文字図形名,MJ010101,NULL
孽,MJ文字図形名,MJ010102,NULL
孽,戸籍統一文字番号,080140,MJ010101
孽,住基ネット統一文字コード,J+5B7D,MJ010102
呏,Unicode,U+544F,NULL
呏,JIS X 0213,-,NULL
呏,Shift_JIS-2004,-,NULL
呏,MJ文字図形名,MJ008141,NULL
呏,戸籍統一文字番号,039530,NULL
呏,住基ネット統一文字コード,J+544F,NULL
啐,Unicode,U+5550,NULL
啐,JIS X 0213,1-15-07,面区点番号
啐,Shift_JIS-2004,8846,NULL
啐,MJ文字図形名,MJ008388,NULL
啐,戸籍統一文字番号,043710,NULL
啐,住基ネット統一文字コード,J+5550,NULL
啑,Unicode,U+5551,NULL
啑,JIS X 0213,-,NULL
啑,Shift_JIS-2004,-,NULL
啑,MJ文字図形名,MJ008389,NULL
啑,戸籍統一文字番号,043730,NULL
啑,住基ネット統一文字コード,J+5551,NULL
啍,Unicode,U+554D,NULL
啍,JIS X 0213,-,NULL
啍,Shift_JIS-2004,-,NULL
啍,MJ文字図形名,MJ008385,NULL
啍,戸籍統一文字番号,043670,NULL
啍,住基ネット統一文字コード,J+554D,NULL
啘,Unicode,U+5558,NULL
啘,JIS X 0213,-,NULL
啘,Shift_JIS-2004,-,NULL
啘,MJ文字図形名,MJ008398,NULL
啘,戸籍統一文字番号,043810,NULL
啘,住基ネット統一文字コード,J+5558,NULL
啚,Unicode,U+555A,NULL
啚,JIS X 0213,-,NULL
啚,Shift_JIS-2004,-,NULL
啚,MJ文字図形名,MJ008400,NULL
啚,MJ文字図形名,MJ008401,NULL
啚,MJ文字図形名,MJ057180,NULL
啚,戸籍統一文字番号,043840,MJ008400
啚,戸籍統一文字番号,044550,MJ008401
啚,戸籍統一文字番号,046280,MJ057180
啚,住基ネット統一文字コード,J+555A,MJ008400
亹,Unicode,U+4EB9,NULL
亹,JIS X 0213,2-01-20,面区点番号
亹,Shift_JIS-2004,F053,NULL
亹,MJ文字図形名,MJ006490,NULL
亹,MJ文字図形名,MJ006491,NULL
亹,MJ文字図形名,MJ006492,NULL
亹,戸籍統一文字番号,004230,MJ006490
亹,戸籍統一文字番号,004240,MJ006491
亹,住基ネット統一文字コード,J+AD3D,MJ006490
亹,住基ネット統一文字コード,J+4EB9,MJ006491
亹,住基ネット統一文字コード,J+AD3B,MJ006492
亻,Unicode,U+4EBB,NULL
亻,JIS X 0213,2-01-21,面区点番号
亻,Shift_JIS-2004,F054,NULL
亻,MJ文字図形名,MJ006494,NULL
亻,戸籍統一文字番号,004270,NULL
亻,住基ネット統一文字コード,J+4EBB,NULL
亼,Unicode,U+4EBC,NULL
亼,JIS X 0213,2-01-23,面区点番号
亼,Shift_JIS-2004,F056,NULL
亼,MJ文字図形名,MJ006495,NULL
亼,戸籍統一文字番号,004280,NULL
亼,住基ネット統一文字コード,J+4EBC,NULL
仐,Unicode,U+4ED0,NULL
仐,JIS X 0213,2-01-26,面区点番号
仐,Shift_JIS-2004,F059,NULL
仐,MJ文字図形名,MJ006514,NULL
仐,戸籍統一文字番号,004490,NULL
仐,住基ネット統一文字コード,J+4ED0,NULL
仃,Unicode,U+4EC3,NULL
仃,JIS X 0213,2-01-24,面区点番号
仃,Shift_JIS-2004,F057,NULL
仃,MJ文字図形名,MJ006499,NULL
仃,戸籍統一文字番号,004350,NULL
仃,住基ネット統一文字コード,J+4EC3,NULL
仈,Unicode,U+4EC8,NULL
仈,JIS X 0213,2-01-25,面区点番号
仈,Shift_JIS-2004,F058,NULL
仈,MJ文字図形名,MJ006506,NULL
仈,戸籍統一文字番号,004400,NULL
仈,住基ネット統一文字コード,J+4EC8,NULL
仅,Unicode,U+4EC5,NULL
仅,JIS X 0213,-,NULL
仅,Shift_JIS-2004,-,NULL
仅,MJ文字図形名,MJ006502,NULL
仅,戸籍統一文字番号,004370,NULL
仅,住基ネット統一文字コード,-,NULL
㠯,Unicode,U+382F,NULL
㠯,JIS X 0213,2-08-79,面区点番号
㠯,Shift_JIS-2004,F0ED,NULL
㠯,MJ文字図形名,MJ000944,NULL
㠯,MJ文字図形名,MJ000945,NULL
㠯,MJ文字図形名,MJ000946,NULL
㠯,戸籍統一文字番号,099080,MJ000944
㠯,戸籍統一文字番号,099090,MJ000945
㠯,戸籍統一文字番号,099100,MJ000946
㠯,住基ネット統一文字コード,J+382F,MJ000945
㠯,住基ネット統一文字コード,J+B094,MJ000946
仠,Unicode,U+4EE0,NULL
仠,JIS X 0213,-,NULL
仠,Shift_JIS-2004,-,NULL
仠,MJ文字図形名,MJ006529,NULL
仠,戸籍統一文字番号,004670,NULL
仠,住基ネット統一文字コード,J+4EE0,NULL
仡,Unicode,U+4EE1,NULL
仡,JIS X 0213,1-14-08,面区点番号
仡,Shift_JIS-2004,87A6,NULL
仡,MJ文字図形名,MJ006530,NULL
仡,戸籍統一文字番号,004680,NULL
仡,住基ネット統一文字コード,J+4EE1,NULL
仚,Unicode,U+4EDA,NULL
仚,JIS X 0213,2-01-28,面区点番号
仚,Shift_JIS-2004,F05B,NULL
仚,MJ文字図形名,MJ006522,NULL
仚,戸籍統一文字番号,004610,NULL
仚,住基ネット統一文字コード,J+4EDA,NULL
仨,Unicode,U+4EE8,NULL
仨,JIS X 0213,-,NULL
仨,Shift_JIS-2004,-,NULL
仨,MJ文字図形名,MJ006536,NULL
仨,戸籍統一文字番号,004810,NULL
仨,住基ネット統一文字コード,J+4EE8,NULL
㐱,Unicode,U+3431,NULL
㐱,JIS X 0213,-,NULL
㐱,Shift_JIS-2004,-,NULL
㐱,MJ文字図形名,MJ000032,NULL
㐱,戸籍統一文字番号,004580,NULL
㐱,住基ネット統一文字コード,-,NULL
仛,Unicode,U+4EDB,NULL
仛,JIS X 0213,-,NULL
仛,Shift_JIS-2004,-,NULL
仛,MJ文字図形名,MJ006523,NULL
仛,戸籍統一文字番号,004620,NULL
仛,住基ネット統一文字コード,J+4EDB,NULL
姹,Unicode,U+59F9,NULL
姹,JIS X 0213,-,NULL
姹,Shift_JIS-2004,-,NULL
姹,MJ文字図形名,MJ009684,NULL
姹,戸籍統一文字番号,071430,NULL
姹,住基ネット統一文字コード,-,NULL
仝,Unicode,U+4EDD,NULL
仝,JIS X 0213,1-01-24,面区点番号
仝,Shift_JIS-2004,-,NULL
仝,MJ文字図形名,MJ006525,NULL
仝,戸籍統一文字番号,004640,NULL
仝,住基ネット統一文字コード,J+4EDD,NULL
仜,Unicode,U+4EDC,NULL
仜,JIS X 0213,-,NULL
仜,Shift_JIS-2004,-,NULL
仜,MJ文字図形名,MJ006524,NULL
仜,戸籍統一文字番号,004630,NULL
仜,住基ネット統一文字コード,-,NULL
仢,Unicode,U+4EE2,NULL
仢,JIS X 0213,-,NULL
仢,Shift_JIS-2004,-,NULL
仢,MJ文字図形名,MJ006531,NULL
仢,MJ文字図形名,MJ056903,NULL
仢,戸籍統一文字番号,004700,MJ006531
仢,戸籍統一文字番号,004840,MJ056903
仢,住基ネット統一文字コード,J+4EE2,MJ006531
仫,Unicode,U+4EEB,NULL
仫,JIS X 0213,2-01-27,面区点番号
仫,Shift_JIS-2004,F05A,NULL
仫,MJ文字図形名,MJ006537,NULL
仫,戸籍統一文字番号,004850,NULL
仫,住基ネット統一文字コード,J+4EEB,NULL
伌,Unicode,U+4F0C,NULL
伌,JIS X 0213,-,NULL
伌,Shift_JIS-2004,-,NULL
伌,MJ文字図形名,MJ006572,NULL
伌,戸籍統一文字番号,005270,NULL
伌,住基ネット統一文字コード,J+4F0C,NULL
伇,Unicode,U+4F07,NULL
伇,JIS X 0213,-,NULL
伇,Shift_JIS-2004,-,NULL
伇,MJ文字図形名,MJ006566,NULL
伇,戸籍統一文字番号,005220,NULL
伇,住基ネット統一文字コード,-,NULL
伙,Unicode,U+4F19,NULL
伙,JIS X 0213,-,NULL
伙,Shift_JIS-2004,-,NULL
伙,MJ文字図形名,MJ006585,NULL
伙,戸籍統一文字番号,005490,NULL
伙,住基ネット統一文字コード,J+4F19,NULL
伋,Unicode,U+4F0B,NULL
伋,JIS X 0213,1-14-12,面区点番号
伋,Shift_JIS-2004,87AA,NULL
伋,MJ文字図形名,MJ006570,NULL
伋,MJ文字図形名,MJ006571,NULL
伋,戸籍統一文字番号,004860,MJ006570
伋,戸籍統一文字番号,005260,MJ006571
伋,住基ネット統一文字コード,J+AD49,MJ006570
伋,住基ネット統一文字コード,J+4F0B,MJ006571
仱,Unicode,U+4EF1,NULL
仱,JIS X 0213,2-01-29,面区点番号
仱,Shift_JIS-2004,F05C,NULL
仱,MJ文字図形名,MJ006543,NULL
仱,戸籍統一文字番号,004970,NULL
仱,住基ネット統一文字コード,J+4EF1,NULL
伒,Unicode,U+4F12,NULL
伒,JIS X 0213,-,NULL
伒,Shift_JIS-2004,-,NULL
伒,MJ文字図形名,MJ006578,NULL
伒,戸籍統一文字番号,005370,NULL
伒,住基ネット統一文字コード,J+4F12,NULL
众,Unicode,U+4F17,NULL
众,JIS X 0213,-,NULL
众,Shift_JIS-2004,-,NULL
众,MJ文字図形名,MJ006583,NULL
众,戸籍統一文字番号,005460,NULL
众,住基ネット統一文字コード,J+4F17,NULL
仵,Unicode,U+4EF5,NULL
仵,JIS X 0213,2-01-30,面区点番号
仵,Shift_JIS-2004,F05D,NULL
仵,MJ文字図形名,MJ006547,NULL
仵,戸籍統一文字番号,005050,NULL
仵,住基ネット統一文字コード,J+4EF5,NULL
伀,Unicode,U+4F00,NULL
伀,JIS X 0213,2-01-31,面区点番号
伀,Shift_JIS-2004,F05E,NULL
伀,MJ文字図形名,MJ006558,NULL
伀,MJ文字図形名,MJ006559,NULL
伀,戸籍統一文字番号,005160,MJ006558
伀,住基ネット統一文字コード,J+4F00,MJ006558
伀,住基ネット統一文字コード,J+AD4C,MJ006559
伈,Unicode,U+4F08,NULL
伈,JIS X 0213,-,NULL
伈,Shift_JIS-2004,-,NULL
伈,MJ文字図形名,MJ006567,NULL
伈,戸籍統一文字番号,005230,NULL
伈,住基ネット統一文字コード,J+4F08,NULL
仯,Unicode,U+4EEF,NULL
